region,point_count,point_fraction,velocity_mse,velocity_mae,relative_l2,mse_over_global
global,409600,1.0,5.772369976043701,1.34865926861763,0.22403938186135017,1.0
wake,44623,0.10894287109375,21.51010187300061,2.541496119387966,0.7307772232989446,3.7263900204372074
non_wake,364977,0.89105712890625,3.848235564651163,1.2028200504811348,0.17606726683610682,0.6666647461306158
near_wall_sdf_0.005L,754,0.0018408203125,45.333461903134456,3.9718836318276605,3.309990505619575,7.8535267301430585
near_wall_sdf_0.01L,5650,0.0137939453125,32.19654797849402,3.3023256850453606,1.2871466036163899,5.577699993610088
near_wall_sdf_0.02L,20095,0.04906005859375,23.22969631433309,2.8246898680547186,0.8772287672413901,4.024290960340416
